scientificname,aphiaid,rank,parent,children,directchildren
Oligochaeta,2036,Subclass,14165,0,0
Capitellidae,921,Family,183607,2,2
Imparidentia,869600,Superorder,382296,6,3
Cumacea,1137,Order,1090,3,2
Phyllodocidae,931,Family,926,2,2
Spionidae,913,Family,909,3,3
Senticaudata,719424,Suborder,1135,5,2
Mysidae,119822,Family,149668,2,2
Pleocyemata,106670,Suborder,1130,2,2
Nephtys,129370,Genus,956,2,2
Nereis,129379,Genus,324346,4,4
Magelona papillicornis,130272,Species,129341,0,0
Arenicola marina,129868,Species,129206,0,0
Manayunkia aestuarina,130926,Species,129535,0,0
Tharyx marioni,155177,Species,129249,0,0
Scoloplos armiger,130537,Species,129425,0,0
Ophelia borealis,130491,Species,129413,0,0
Retusa obtusa,141134,Species,138432,0,0
Eurydice pulchra,118852,Species,118401,0,0
Haustorius arenarius,102317,Species,101546,0,0
Hydrobia ulvae,140126,Species,138081,0,0
Mytilus edulis,140480,Species,138228,0,0
Lanice conchilega,131495,Species,129697,0,0
