aphia_id,RankName,ScientificName,ScientificNameAuthor,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,ScientificNameWithAuthor
107032,Genus,Palaemon,"Weber, 1795",Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,,,,"Palaemon Weber, 1795"
107380,Species,Carcinus aestuarii,"Nardo, 1847",Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,,aestuarii,,"Carcinus aestuarii Nardo, 1847"
107552,Species,Crangon crangon,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,crangon,,"Crangon crangon Linnaeus, 1758"
125546,Family,Mugilidae,"Jarocki, 1822",Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,,,,,"Mugilidae Jarocki, 1822"
125999,Genus,Pomatoschistus,"Gill, 1863",Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,,,,"Pomatoschistus Gill, 1863"
126281,Species,Anguilla anguilla,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,,anguilla,,"Anguilla anguilla Linnaeus, 1758"
126425,Species,Sprattus sprattus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sprattus,,sprattus,,"Sprattus sprattus Linnaeus, 1758"
126426,Species,Engraulis encrasicolus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,,encrasicolus,,"Engraulis encrasicolus Linnaeus, 1758"
126942,Species,Zosterisessor ophiocephalus,"(Pallas, 1814)",Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Zosterisessor,,ophiocephalus,,"Zosterisessor ophiocephalus Pallas, 1814"
126975,Species,Dicentrarchus labrax,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Moronidae,Dicentrarchus,,labrax,,"Dicentrarchus labrax Linnaeus, 1758"
126977,Species,Chelon labrosus,"(Risso, 1827)",Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Chelon,,labrosus,,"Chelon labrosus Risso, 1827"
127141,Species,Platichthys flesus,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,,flesus,,"Platichthys flesus Linnaeus, 1758"
127160,Species,Solea solea,"(Linnaeus, 1758)",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Solea,,solea,,"Solea solea Linnaeus, 1758"
141444,Species,Sepia officinalis,"Linnaeus, 1758",Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,,officinalis,,"Sepia officinalis Linnaeus, 1758"
231748,Genus,Ruditapes,"Chiamenti, 1900",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,,,,"Ruditapes Chiamenti, 1900"
272027,Species,Atherina boyeri,"Risso, 1810",Animalia,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherina,,boyeri,,"Atherina boyeri Risso, 1810"
aphia_id,RankName,ScientificName,ScientificNameAuthor,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,ScientificNameWithAuthor
2,Kingdom,Animalia,,Animalia,,,,,,,,,Animalia
51,Phylum,Mollusca,,Animalia,Mollusca,,,,,,,,Mollusca
105,Class,Bivalvia,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,,,,,,,"Bivalvia Linnaeus, 1758"
217,Order,Venerida,"Gray, 1854",Animalia,Mollusca,Bivalvia,Venerida,,,,,,"Venerida Gray, 1854"
243,Family,Veneridae,"Rafinesque, 1815",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,,,,,"Veneridae Rafinesque, 1815"
1065,Phylum,Arthropoda,"von Siebold, 1848",Animalia,Arthropoda,,,,,,,,"Arthropoda von Siebold, 1848"
1071,Class,Malacostraca,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,,,,,,,"Malacostraca Latreille, 1802"
1130,Order,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,,"Decapoda Latreille, 1802"
1821,Phylum,Chordata,"Haeckel, 1874",Animalia,Chordata,,,,,,,,"Chordata Haeckel, 1874"
10295,Order,Anguilliformes,,Animalia,Chordata,Actinopteri,Anguilliformes,,,,,,Anguilliformes
10297,Order,Clupeiformes,,Animalia,Chordata,Actinopteri,Clupeiformes,,,,,,Clupeiformes
10318,Order,Atheriniformes,,Animalia,Chordata,Actinopteri,Atheriniformes,,,,,,Atheriniformes
10331,Order,Pleuronectiformes,,Animalia,Chordata,Actinopteri,Pleuronectiformes,,,,,,Pleuronectiformes
11707,Class,Cephalopoda,"Cuvier, 1795",Animalia,Mollusca,Cephalopoda,,,,,,,"Cephalopoda Cuvier, 1795"
11713,Order,Sepiida,"Zittel, 1895",Animalia,Mollusca,Cephalopoda,Sepiida,,,,,,"Sepiida Zittel, 1895"
11723,Family,Sepiidae,"Leach, 1817",Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,,,,,"Sepiidae Leach, 1817"
106782,Family,Crangonidae,"Haworth, 1825",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,,,,,"Crangonidae Haworth, 1825"
106788,Family,Palaemonidae,"Rafinesque, 1815",Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,,,,,"Palaemonidae Rafinesque, 1815"
106922,Genus,Carcinus,"Leach, 1814",Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,,,,"Carcinus Leach, 1814"
106978,Genus,Alpheus,"Fabricius, 1798",Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,Alpheus,,,,"Alpheus Fabricius, 1798"
107007,Genus,Crangon,"Fabricius, 1798",Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,,,"Crangon Fabricius, 1798"
107032,Genus,Palaemon,"Weber, 1795",Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,,,,"Palaemon Weber, 1795"
122358,Genus,Lineus,"Sowerby, 1806",Animalia,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Lineus,,,,"Lineus Sowerby, 1806"
125425,Family,Anguillidae,"Rafinesque, 1810",Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,,,,,"Anguillidae Rafinesque, 1810"
125438,Family,Atherinidae,"Risso, 1827",Animalia,Chordata,Actinopteri,Atheriniformes,Atherinidae,,,,,"Atherinidae Risso, 1827"
125464,Family,Clupeidae,"Cuvier, 1816",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,,,,,"Clupeidae Cuvier, 1816"
125465,Family,Engraulidae,"Gill, 1861",Animalia,Chordata,Actinopteri,Clupeiformes,Engraulidae,,,,,"Engraulidae Gill, 1861"
125537,Family,Gobiidae,"Cuvier, 1816",Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,,,,,"Gobiidae Cuvier, 1816"
125545,Family,Moronidae,"Jordan & Evermann, 1896",Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Moronidae,,,,,"Moronidae Jordan & Evermann, 1896"
125546,Family,Mugilidae,"Jarocki, 1822",Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,,,,,"Mugilidae Jarocki, 1822"
125579,Family,Pleuronectidae,"Rafinesque, 1815",Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,,,,"Pleuronectidae Rafinesque, 1815"
125581,Family,Soleidae,"Bonaparte, 1833",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,,,,,"Soleidae Bonaparte, 1833"
125620,Genus,Anguilla,"Schrank, 1798",Animalia,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,,,,"Anguilla Schrank, 1798"
125659,Genus,Atherina,"Linnaeus, 1758",Animalia,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherina,,,,"Atherina Linnaeus, 1758"
125723,Genus,Sprattus,"Girgensohn, 1846",Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sprattus,,,,"Sprattus Girgensohn, 1846"
125724,Genus,Engraulis,"Cuvier, 1816",Animalia,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,,,,"Engraulis Cuvier, 1816"
125999,Genus,Pomatoschistus,"Gill, 1863",Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,,,,"Pomatoschistus Gill, 1863"
126007,Genus,Zosterisessor,"Whitley, 1935",Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Zosterisessor,,,,"Zosterisessor Whitley, 1935"
126029,Genus,Dicentrarchus,"Gill, 1860",Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Moronidae,Dicentrarchus,,,,"Dicentrarchus Gill, 1860"
126030,Genus,Chelon,"Artedi, 1793",Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Chelon,,,,"Chelon Artedi, 1793"
126119,Genus,Platichthys,"Girard, 1854",Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Platichthys,,,,"Platichthys Girard, 1854"
126132,Genus,Solea,"Quensel, 1806",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Solea,,,,"Solea Quensel, 1806"
138477,Genus,Sepia,"Linnaeus, 1758",Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,,,,"Sepia Linnaeus, 1758"
231748,Genus,Ruditapes,"Chiamenti, 1900",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,,,,"Ruditapes Chiamenti, 1900"
240731,Genus,Hexagrammos,"Tilesius, 1810",Animalia,Chordata,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,,,,"Hexagrammos Tilesius, 1810"
296572,Genus,Encrasicholus,"Fleming, 1828",Animalia,Chordata,Actinopteri,Clupeiformes,Engraulidae,Encrasicholus,,,,"Encrasicholus Fleming, 1828"
297289,Genus,Ophicephalus,"Bloch, 1793",Animalia,Chordata,Actinopteri,Anabantiformes,Channidae,Ophicephalus,,,,"Ophicephalus Bloch, 1793"
397228,Order,Mugiliformes,,Animalia,Chordata,Actinopteri,Mugiliformes,,,,,,Mugiliformes
557511,Family,Carcinidae,"MacLeay, 1838",Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,,,,,"Carcinidae MacLeay, 1838"
843526,Genus,Solea,"Catesby, 1771",Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Solea,,,,"Solea Catesby, 1771"
843528,Genus,Solea,"Klein, 1776",Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Solea,,,,"Solea Klein, 1776"
843664,Class,Actinopteri,,Animalia,Chordata,Actinopteri,,,,,,,Actinopteri
1308764,Genus,Platichthys,"Lange-Bertalot, Kulikovskiy, Witkowski, Seddon & Kociolek, 2015",Chromista,Ochrophyta,Bacillariophyceae,Surirellales,Entomoneidaceae,Platichthys,,,,"Platichthys Lange-Bertalot, Kulikovskiy, Witkowski, Seddon & Kociolek, 2015"
1517500,Order,Gobiiformes,,Animalia,Chordata,Actinopteri,Gobiiformes,,,,,,Gobiiformes
1517577,Order,Eupercaria incertae sedis,,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,,,,,,Eupercaria incertae sedis
