aphia_id,RankName,ScientificName,ScientificNameAuthor,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,ScientificNameWithAuthor
2,Kingdom,Animalia,,Animalia,,,,,,,,,Animalia
101,Class,Gastropoda,"Cuvier, 1795",Animalia,Mollusca,Gastropoda,,,,,,,"Gastropoda Cuvier, 1795"
105,Class,Bivalvia,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,,,,,,,"Bivalvia Linnaeus, 1758"
145,Family,Naticidae,"Guilding, 1834",Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,,,,,"Naticidae Guilding, 1834"
149,Family,Buccinidae,"Rafinesque, 1815",Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,,,,,"Buccinidae Rafinesque, 1815"
204,Family,Nuculidae,"Gray, 1824",Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,,,,,"Nuculidae Gray, 1824"
211,Family,Mytilidae,"Rafinesque, 1815",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,,,,,"Mytilidae Rafinesque, 1815"
213,Family,Pectinidae,"Rafinesque, 1815",Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,,,,,"Pectinidae Rafinesque, 1815"
214,Family,Anomiidae,"Rafinesque, 1815",Animalia,Mollusca,Bivalvia,Pectinida,Anomiidae,,,,,"Anomiidae Rafinesque, 1815"
558,Phylum,Porifera,"Grant, 1836",Animalia,Porifera,,,,,,,,"Porifera Grant, 1836"
793,Phylum,Platyhelminthes,"Minot, 1876",Animalia,Platyhelminthes,,,,,,,,"Platyhelminthes Minot, 1876"
799,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,,Nematoda
883,Class,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,,"Polychaeta Grube, 1850"
919,Family,Cirratulidae,"Ryckholt, 1851",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,,,"Cirratulidae Ryckholt, 1851"
923,Family,Maldanidae,"Malmgren, 1867",Animalia,Annelida,Polychaeta,,Maldanidae,,,,,"Maldanidae Malmgren, 1867"
931,Family,Phyllodocidae,"Örsted, 1843",Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,,,"Phyllodocidae Örsted, 1843"
938,Family,Aphroditidae,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,,,,,"Aphroditidae Malmgren, 1867"
939,Family,Polynoidae,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,,,"Polynoidae Kinberg, 1856"
946,Family,Hesionidae,"Grube, 1850",Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,,,,,"Hesionidae Grube, 1850"
965,Family,Onuphidae,"Kinberg, 1865",Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,,,,,"Onuphidae Kinberg, 1865"
981,Family,Ampharetidae,"Malmgren, 1866",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,,,,,"Ampharetidae Malmgren, 1866"
982,Family,Terebellidae,"Johnston, 1846",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,,,,,"Terebellidae Johnston, 1846"
985,Family,Sabellidae,"Latreille, 1825",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,,,,,"Sabellidae Latreille, 1825"
988,Family,Serpulidae,"Rafinesque, 1815",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,,,,,"Serpulidae Rafinesque, 1815"
1070,Class,Maxillopoda,"Dahl, 1956",Animalia,Arthropoda,Maxillopoda,,,,,,,"Maxillopoda Dahl, 1956"
1080,Subclass,Copepoda,"Milne Edwards, 1840",Animalia,Arthropoda,Hexanauplia,,,,,,,"Copepoda Milne Edwards, 1840"
1100,Order,Calanoida,"Sars G. O., 1903",Animalia,Arthropoda,Hexanauplia,Calanoida,,,,,,"Calanoida Sars G. O., 1903"
1130,Order,Decapoda,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,,,,,,"Decapoda Latreille, 1802"
1135,Order,Amphipoda,"Latreille, 1816",Animalia,Arthropoda,Malacostraca,Amphipoda,,,,,,"Amphipoda Latreille, 1816"
1137,Order,Cumacea,"Krøyer, 1846",Animalia,Arthropoda,Malacostraca,Cumacea,,,,,,"Cumacea Krøyer, 1846"
1268,Order,Sipuncula,"Stephen, 1965",Animalia,Annelida,,Sipuncula,,,,,,"Sipuncula Stephen, 1965"
1337,Class,Hydrozoa,"Owen, 1843",Animalia,Cnidaria,Hydrozoa,,,,,,,"Hydrozoa Owen, 1843"
1360,Order,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,"Actiniaria Hertwig, 1882"
1564,Family,Callipallenidae,"Hilton, 1942",Animalia,Arthropoda,Pycnogonida,Pantopoda,Callipallenidae,,,,,"Callipallenidae Hilton, 1942"
