aphiaid,scientificname,rank,parent,children,directchildren
101,Gastropoda,Class,51,0,0
105,Bivalvia,Class,51,0,0
11707,Cephalopoda,Class,51,0,0
559,Calcarea,Class,558,0,0
164811,Demospongiae,Class,558,0,0
883,Polychaeta,Class,882,0,0
1292,Anthozoa,Subphylum,1267,0,0
1794,Stenolaemata,Class,146142,0,0
1795,Gymnolaemata,Class,146142,0,0
845959,Multicrustacea,Superclass,1066,2,2
1337,Hydrozoa,Class,1740301,0,0
1839,Ascidiacea,Class,146420,0,0
123080,Asteroidea,Class,148743,0,0
123084,Ophiuroidea,Class,148743,0,0
123082,Echinoidea,Class,148744,0,0
123083,Holothuroidea,Class,148744,0,0
10193,Elasmobranchii,Class,1517375,0,0
843664,Actinopteri,Superclass,10194,0,0
